safeyFactor	condNumber	NoOfIter	L2error	isDefinite
0.001	81221.26937795912	13149	2.2859760363225806E-07	False
0.002	81044.95578465018	14898	4.884146608456006E-07	False
0.01	79413.909092162	20730	1.770032826742077E-07	False
0.02	78786.41329437598	25719	1.1127284674273726E-06	False
0.1	849694.3013543972	24234	5.308807899435225E-06	False
0.2	44562.62316922191	4833	2.898887056886683E-07	False
1	353666.2436647699	1457	1.4165654866841706E-06	True
2	788671.8847619996	2071	3.0723275693380273E-06	True
10	4268729.166352148	4442	1.8880872364114952E-05	True
20	8618803.621670611	6166	3.1003875798712457E-05	True
100	43419403.48198251	12303	0.00013370260968997925	True
