 #Line, #Time, #Iter	L2Norm MomentumX    L2Norm MomentumY    L2Norm ContiEq      L2Norm Total        
     1,     1,     1	7.672941E+000       2.254751E-002       7.442497E+000       1.068949E+001       
     2,     1,     2	6.006118E-002       4.241565E-002       4.337761E-013       7.352845E-002       
     3,     1,     3	1.427588E-003       2.031714E-004       2.943936E-014       1.441973E-003       
     4,     1,     4	4.886698E-006       8.727407E-007       3.515102E-014       4.964020E-006       
     5,     1,     5	2.700184E-008       6.515761E-009       2.782669E-014       2.777687E-008       
     6,     1,     6	1.642501E-010       2.955386E-011       2.788308E-014       1.668877E-010       
     7,     2,     1	1.416530E+001       1.186884E+000       1.151513E-002       1.421494E+001       
     8,     2,     2	1.030792E-003       3.577436E-004       3.216884E-013       1.091106E-003       
     9,     2,     3	4.516357E-006       1.048788E-006       7.529589E-013       4.636533E-006       
    10,     2,     4	1.939645E-008       4.605125E-009       3.239750E-013       1.993564E-008       
    11,     2,     5	2.122933E-010       5.061310E-011       1.643881E-013       2.182433E-010       
    12,     3,     1	3.757111E-001       7.308342E-001       1.812453E-002       8.219525E-001       
    13,     3,     2	1.072710E-003       2.763004E-004       2.405730E-013       1.107722E-003       
    14,     3,     3	4.112911E-006       8.172084E-007       1.450465E-013       4.193312E-006       
    15,     3,     4	2.048693E-008       7.709070E-009       1.455866E-013       2.188936E-008       
    16,     3,     5	1.396066E-010       3.620946E-011       1.760512E-013       1.442260E-010       
    17,     4,     1	3.662829E-001       6.893103E-001       2.490634E-003       7.805883E-001       
    18,     4,     2	6.577782E-004       2.029048E-004       1.654616E-013       6.883622E-004       
    19,     4,     3	3.305267E-006       5.770437E-007       1.769948E-013       3.355260E-006       
    20,     4,     4	1.787664E-008       4.363566E-009       7.569109E-014       1.840149E-008       
    21,     4,     5	1.138426E-010       2.205193E-011       1.203405E-013       1.159588E-010       
    22,     5,     1	3.658711E-001       6.465610E-001       2.251515E-003       7.429050E-001       
    23,     5,     2	5.276052E-004       1.715769E-004       1.463485E-013       5.548026E-004       
    24,     5,     3	2.246915E-006       4.838680E-007       7.516248E-014       2.298424E-006       
    25,     5,     4	1.367668E-008       3.361211E-009       1.960515E-013       1.408365E-008       
    26,     5,     5	7.910490E-011       1.637278E-011       2.418450E-013       8.078188E-011       
    27,     6,     1	3.630974E-001       6.283217E-001       2.133474E-003       7.256945E-001       
    28,     6,     2	4.457351E-004       1.564631E-004       2.581768E-014       4.723987E-004       
    29,     6,     3	1.662721E-006       4.552884E-007       2.501292E-014       1.723928E-006       
    30,     6,     4	1.038850E-008       2.552401E-009       4.096239E-014       1.069746E-008       
    31,     6,     5	4.850085E-011       1.168044E-011       2.713516E-014       4.988753E-011       
    32,     7,     1	3.568313E-001       6.180870E-001       1.969880E-003       7.136974E-001       
    33,     7,     2	3.976596E-004       1.459309E-004       2.572432E-014       4.235906E-004       
    34,     7,     3	1.395168E-006       4.481819E-007       2.972604E-014       1.465388E-006       
    35,     7,     4	8.252855E-009       2.035228E-009       2.458229E-014       8.500104E-009       
    36,     7,     5	3.460192E-011       8.684092E-012       3.263669E-014       3.567502E-011       
    37,     8,     1	3.515882E-001       6.150686E-001       2.082390E-003       7.084687E-001       
    38,     8,     2	3.691398E-004       1.361318E-004       9.306486E-014       3.934413E-004       
    39,     8,     3	1.286788E-006       4.396742E-007       5.594050E-014       1.359829E-006       
    40,     8,     4	6.839111E-009       1.727395E-009       5.775594E-014       7.053888E-009       
    41,     8,     5	1.103501E-010       7.203276E-012       1.211804E-013       1.105850E-010       
    42,     9,     1	3.483607E-001       6.240705E-001       1.835850E-003       7.147185E-001       
    43,     9,     2	3.507032E-004       1.261849E-004       4.560200E-014       3.727135E-004       
    44,     9,     3	1.237846E-006       4.263786E-007       3.863634E-014       1.309221E-006       
    45,     9,     4	5.865791E-009       1.559046E-009       4.144633E-014       6.069442E-009       
    46,     9,     5	8.584761E-011       5.895044E-012       4.253882E-014       8.604978E-011       
    47,    10,     1	3.368370E-001       6.221657E-001       1.764400E-003       7.074973E-001       
    48,    10,     2	3.379965E-004       1.161665E-004       5.870127E-014       3.574021E-004       
    49,    10,     3	1.206806E-006       4.110004E-007       1.107947E-013       1.274874E-006       
    50,    10,     4	5.166899E-009       1.466504E-009       5.426337E-014       5.370985E-009       
    51,    10,     5	8.028509E-011       5.465277E-012       8.435535E-014       8.047093E-011       
    52,    11,     1	3.204214E-001       6.100251E-001       1.689689E-003       6.890597E-001       
    53,    11,     2	3.281667E-004       1.063898E-004       9.114697E-014       3.449814E-004       
    54,    11,     3	1.176798E-006       3.968857E-007       9.403593E-014       1.241923E-006       
    55,    11,     4	4.633536E-009       1.407055E-009       5.992372E-014       4.842464E-009       
    56,    11,     5	1.044744E-010       5.648171E-012       4.498957E-014       1.046269E-010       
    57,    12,     1	2.832507E-001       5.014645E-001       1.620562E-003       5.759342E-001       
    58,    12,     2	3.199367E-004       9.711700E-005       1.236890E-013       3.343519E-004       
    59,    12,     3	1.144031E-006       3.868231E-007       1.546738E-013       1.207658E-006       
    60,    12,     4	4.234746E-009       1.359136E-009       5.385081E-014       4.447508E-009       
    61,    12,     5	1.762718E-010       6.148627E-012       1.408546E-013       1.763791E-010       
    62,    13,     1	2.780963E-001       4.860569E-001       1.727734E-003       5.599927E-001       
    63,    13,     2	3.124129E-004       8.848422E-005       2.920524E-014       3.247018E-004       
    64,    13,     3	1.109534E-006       3.818451E-007       2.787251E-014       1.173401E-006       
    65,    13,     4	3.931785E-009       1.313782E-009       4.076736E-014       4.145474E-009       
    66,    13,     5	2.981013E-011       4.964158E-012       2.995360E-014       3.022065E-011       
    67,    14,     1	2.666567E-001       4.775721E-001       9.810516E-003       5.470623E-001       
