NoOfCores	TotalRuntime	MatrixAssembly_time	AggregationBaseInit_time	DataIO_time	CGProjection_time	SayeCompile_time	StandardCompile_time	AMR_time	LoadBal_time	SolverInit_time	SolverRun_time
128	1910.4193191	22.3815732	0.0637166	3.6777984000000004	0	2.6423709000000004	0.0591624	0.0061095	1.7319849	10.2332546	1857.0250021
64	701.8191152	14.1061595	0.0109427	2.1136037	0	1.3866674	0.0299412	0.0021732	1.9771318	6.9380944	666.7359465
64	791.6845858	13.9755378	0.0143942	2.0717255	0	1.3058992	0.030407200000000002	0.0021453	1.9346838	7.873635	755.8042497
32	364.8097935	21.0752758	0.0642331	1.8068351	0	2.4218426	0.0300205	0.0023211	1.3389765	7.7471941	320.0342144
16	297.9161491	14.9023113	0.0090853	1.1426932	0	2.9651154999999996	0.028763400000000005	0.0021599	1.1631013	4.8331827	264.804285
8	143.1604585	15.5553914	0.012823	0.8918967	0	3.6752059000000004	0.0250556	0.0020342	1.0775805	4.7527468	109.0251059
128	4672.2490889	23.1398499	0.0742864	4.1069274	0	2.7410410000000005	0.0548903	0.0058281	2.2668759	10.3373664	4617.4231306
64	1829.3333913	14.0844093	0.0169886	2.1979104	0	1.3065669999999998	0.029185800000000005	0.0024505	1.9262468	8.0683554	1793.1611886
32	400.2668092	20.9179385	0.0687879	1.7463271	0	2.3811122000000005	0.030229000000000002	0.0032199	1.3667708	7.6803002	355.3600605
16	263.1253955	14.6639407	0.0090544	1.0782527	0	2.6771899	0.0249197	0.0021269	1.1754913	4.7168424	230.6658364
8	138.1026794	15.3548302	0.0086634	1.0141505	0	3.6631656	0.023946000000000002	0.0020349	1.0807484	4.6684709	103.5947927
256	5335.5403429	25.153866	0.0716693	7.2733381	0	2.4164622	0.07950490000000002	0.0036056	2.1029114	13.35849	5272.0989993
256	4084.1336682	22.778107	0.0551385	6.2023053	0	2.3751553	0.033797	0.0031543	1.7630885	12.0541346	4027.8459255
8	139.4137259	15.3674213	0.0085891	0.9171083	0	3.6273881	0.0417152	0.0020543	1.0931252	4.6464144	104.7635102
