NoCores	Iter	DGdegree	OrthonormalizationMultigrid.AddSol	Schwarz.Solve	OrthonormalizationMultigrid.MinimizeResidual	OrthonormalizationMultigrid.Residual	OrthonormalizationMultigrid.Solve	overlap_scaling	block_solve_level	caching	nocaching
8	381	4	118.6497049	114.580227	0.0967977	22.967750700000003	346243.1465538	107.17411220000001	0.0050584	0	0
64	139	4	38.1819032	103.2956924	0.5132426	10.3873847	188374.73433680003	98.1786378	0.0042889	0	0
8	399	2	25.7800779	10.4145275	0.0989225	10.6940579	71285.2156133	6.605096	0.004135799999999999	0	0
256	90	4	9.4934039	8.8408878	0.14790730000000002	3.4820316	306158.4505587	6.9631062	0.0022709	0	0
32	312	4	54.249108699999994	69.47620959999999	0.035881500000000004	10.957127300000002	335868.98007060005	63.2663944	0.0024057	0	0
64	232	3	30.4080055	41.7871504	0.47260579999999996	6.1971514	153040.996529	37.294764400000005	0.003142	0	0
128	92	4	23.627516999999997	57.9878485	0.0608255	5.791757700000001	232148.05115349998	55.96484420000001	0.0029550999999999996	0	0
256	171	3	6.735274	6.7472752	0.143143	4.5063247	154889.5483863	5.406748	0.0022418	0	0
16	230	4	48.422542500000006	92.5903553	0.0516455	9.06516	206024.09288830002	81.6754176	0.0032522000000000002	0	0
256	420	2	7.7918749	4.1646042	0.1382241	3.4721277	74797.5442113	2.8561635	0.0021336	0	0
128	131	3	6.9648257000000005	7.8759817	0.0540205	6.077845700000001	60208.1899424	6.381882200000001	0.0028547	0	0
128	407	2	5.768871000000001	4.5073956	0.0531922	5.0036498	86007.80122539999	3.2236280999999996	0.0025983	0	0
32	209	3	9.9029732	14.548131599999998	0.025513200000000003	7.4689107	73736.27990239998	9.7534826	0.0033222	0	0
64	315	2	9.5343707	6.2135608	0.042852299999999996	5.1579252	48768.081834100005	4.013260900000001	0.0031374	0	0
32	432	2	16.4389602	8.867491	0.0191206	4.7824482	68105.1133462	4.3119062	0.0021547	0	0
16	312	3	19.465865100000002	13.7439321	0.0399891	6.4741811	93321.4316966	9.504656100000002	0.0031207000000000006	0	0
8	313	3	24.518624900000002	16.3942734	0.0942571	18.7041637	88771.1851465	10.63257	0.0047169	0	0
16	360	2	15.8281242	8.805209300000001	0.0632421	7.6785768	58527.3252291	5.0323173	0.0027860000000000003	0	0
