NoOfCores	NoIter	DOF/core	Level0	Level1	Level2	Level3	Level4	SolveTime
4	12	110702	1.53355793333333	16.3887201333333	0	0	0	215.0075773
4	14	10960	7.38645152142857	1.07820175	0	0	0	118.4928545
8	16	10540	19.460276325	5.08290446875	0.87144596875	0	0	406.6132504
16	15	11450	23.3725606066667	6.01251558	1.21323644666667	0	0	458.959621
22	13	105221	2.63741144615385	0.553813946153844	21.5040912846154	0	0	320.9675013
32	15	10595	18.5631186733333	4.72288921333333	2.05197426	0	0	380.0371179
64	19	10315	26.3692824736842	6.47676343157895	2.49503144736842	0.871989736842105	0	687.9176703
128	21	10618	14.9327106857143	4.21392807142857	2.52411728571429	1.30596462380952	0	482.3804356
256	27	10435	22.7237197259259	7.01274718148148	2.94424274814815	1.98831387407407	0.698260940740741	954.196243
512	27	10156	22.859309062963	7.28027724814815	3.8287815	2.53746629259259	1.34741855555556	1020.4822139
