x    Becker
0.0721    1.73594
0.1307    1.691
0.1938    1.6451
0.2523    1.60112
0.3019    1.56287
0.347    1.51793
0.3831    1.47299
0.4237    1.43187
0.4598    1.38789
0.4914    1.34677
0.5141    1.30375
0.5591    1.26167
0.5908    1.21673
0.6269    1.17466
0.663    1.13163
0.6946    1.08382
0.7352    1.04462
0.7803    1.00159
0.8209    0.95857
0.8659    0.91745
0.9156    0.86964
0.9651    0.83044
1.0237    0.79028
1.0867    0.76351
1.1182    0.75108
1.1767    0.73195
1.2755    0.7243
1.3833    0.72813
1.4417    0.74151
1.5045    0.76542
1.5359    0.7788
1.5808    0.80367
1.6032    0.82088
1.6435    0.84574
1.6524    0.86199
1.6927    0.89068
1.7152    0.90311
1.751    0.93275
1.7734    0.94996
1.8048    0.97673
1.8182    0.98821
1.8495    1.01976
1.9078    1.06375
1.9615    1.09912
2.0333    1.13928
2.105    1.17657
2.1364    1.19283
2.1992    1.21482
2.2396    1.22534
2.3204    1.24351
2.3923    1.24351
2.4912    1.23586
2.5451    1.22725
2.6171    1.20622
2.6576    1.18996
2.7386    1.16701
2.7656    1.15171
2.8421    1.12207
2.8511    1.11633
2.9276    1.08765
2.9591    1.07044
3.0086    1.04845
3.0356    1.03506
3.0941    1.00924
3.1346    0.99108
3.1886    0.95952
3.2246    0.949
3.2966    0.92701
3.3461    0.91649
3.4405    0.89259
3.5169    0.88303
3.6292    0.88494
3.6921    0.88876
3.7864    0.90406
3.8448    0.91745
3.9121    0.93179
3.9794    0.95092
4.0602    0.97291
4.141    0.99873
4.2083    1.01594
4.3205    1.04462
4.4058    1.06566
4.4732    1.07713
4.5405    1.08765
4.6169    1.09339
4.6753    1.09625
4.7472    1.09434
4.8191    1.09052
4.8865    1.08478
4.9494    1.07809
5.0124    1.06853
5.0978    1.05705
5.1652    1.04558
5.2551    1.02837
5.3136    1.01785
5.408    1.00064
5.4799    0.99203
5.5743    0.97673
5.6552    0.96717
5.7811    0.95952
5.853    0.95857
5.9608    0.96143
6.0911    0.96622
6.1629    0.97291
6.2213    0.98056
6.3336    0.99299
6.4099    1.00064
6.5267    1.01594
6.5671    1.01976
6.6345    1.0255
6.7603    1.03124
6.8546    1.03315
6.9849    1.03697
