x    WNLT
0.999999    -6.7e-05
1.013419    -6.7e-05
1.027269    -0.000268
1.044148    -0.000537
1.06146    -0.000805
1.07574    -0.001208
1.093482    -0.001678
1.109926    -0.002148
1.131993    -0.002886
1.146704    -0.003423
1.165739    -0.004295
1.182178    -0.005034
1.198184    -0.005839
1.220248    -0.006846
1.236685    -0.007718
1.252687    -0.008792
1.269556    -0.009799
1.288587    -0.01094
1.305455    -0.011946
1.324047    -0.013557
1.343075    -0.014899
1.361239    -0.016107
1.3794    -0.017584
1.400587    -0.019329
1.417452    -0.020604
1.434313    -0.022081
1.447285    -0.023154
1.464145    -0.024765
1.48144    -0.026242
1.500028    -0.028054
1.520346    -0.03
1.536772    -0.031678
1.554066    -0.033221
1.573088    -0.035034
1.59081    -0.036846
1.604211    -0.038188
1.621502    -0.039933
1.640089    -0.041812
1.656947    -0.043557
1.674236    -0.045436
1.692825    -0.047248
1.711412    -0.049128
1.730431    -0.051141
1.746857    -0.052819
1.763283    -0.054497
1.781005    -0.056376
