x    Basaran
0.2209    1.5992
0.2435    1.56669
0.2796    1.52845
0.3202    1.48446
0.3743    1.44239
0.4193    1.39841
0.4599    1.35538
0.505    1.31044
0.5456    1.26932
0.5862    1.22725
0.6043    1.19474
0.6449    1.15363
0.672    1.10773
0.7262    1.05514
0.7713    0.99968
0.8074    0.94518
0.8705    0.89355
0.9201    0.84956
0.9697    0.79793
1.0193    0.76159
1.0688    0.74725
1.1137    0.73673
1.1767    0.72908
1.2171    0.72526
1.271    0.72717
1.3159    0.73482
1.3563    0.74821
1.4191    0.76924
1.4505    0.78359
1.4909    0.80271
1.5357    0.8247
1.5806    0.85147
1.6254    0.87825
1.6702    0.91363
1.7195    0.94996
1.7553    0.98247
1.7911    1.02072
1.8359    1.06279
1.8986    1.09912
1.9479    1.13163
2.0062    1.16319
2.0825    1.19378
2.1543    1.211
2.2441    1.22534
2.325    1.22821
2.4283    1.22438
2.5317    1.21004
2.6352    1.18135
2.7117    1.15076
2.7702    1.12207
2.8197    1.09912
2.8827    1.0647
2.9367    1.04462
2.9997    1.0102
3.0492    0.98916
3.1033    0.96335
3.1798    0.93275
3.2292    0.91936
3.2697    0.9012
3.3372    0.89068
3.4091    0.88398
3.5034    0.88112
3.6068    0.88112
3.6607    0.88972
3.7235    0.89737
3.7909    0.9098
3.8357    0.92606
3.8896    0.94327
3.9569    0.96335
4.0153    0.98056
4.0646    0.99394
4.132    1.01402
4.1903    1.02741
4.2666    1.04271
4.325    1.05514
4.4148    1.0647
4.4822    1.07235
4.6035    1.08096
4.6933    1.08287
4.7787    1.08287
4.8686    1.07522
4.9809    1.06375
5.0663    1.05227
5.1338    1.03697
5.2147    1.01976
5.2732    1.00733
5.3361    0.99394
5.4216    0.9796
5.5204    0.96908
5.5879    0.96048
5.7047    0.95474
5.8036    0.95092
5.8889    0.95187
5.9518    0.9557
6.0551    0.96143
6.1494    0.97291
6.2527    0.98438
6.3695    0.99299
6.4548    1.00255
6.5671    1.0102
6.6794    1.01689
6.8007    1.02359
