x    Meradji
0.0632    1.72542    
0.0857    1.70534    
0.1173    1.67952    
0.1668    1.63936    
0.1984    1.60876    
0.2525    1.57147    
0.3155    1.52367    
0.3606    1.48733    
0.4102    1.44622    
0.4553    1.40797    
0.4913    1.37355    
0.541    1.30948    
0.5636    1.27315    
0.5907    1.23394    
0.6223    1.20143    
0.6584    1.15649    
0.6764    1.13068    
0.6945    1.10008    
0.7216    1.05992    
0.7533    1.01594    
0.7804    0.96622    
0.8075    0.93466    
0.8391    0.89833    
0.8661    0.87347    
0.9022    0.84287    
0.9292    0.82375    
0.9832    0.79315    
1.0148    0.7702    
1.0553    0.7549    
1.1137    0.74056    
1.1991    0.72717    
1.2935    0.72526    
1.3564    0.731    
1.4282    0.75108    
1.4596    0.76542    
1.4999    0.79124    
1.5538    0.81418    
1.5761    0.83809    
1.6075    0.85912    
1.6478    0.8859    
1.6837    0.90884    
1.7196    0.92797    
1.742    0.94996    
1.7823    0.97195    
1.8182    0.99299    
1.8495    1.01594    
1.8854    1.03793    
1.9168    1.05992    
1.9436    1.08191    
1.9795    1.10582    
2.0154    1.12398    
2.0378    1.14311    
2.0781    1.16988    
2.1409    1.19092    
2.1813    1.21004    
2.2396    1.22343    
2.3474    1.23012    
2.4283    1.22725    
2.5182    1.21291    
2.5947    1.19378    
2.6892    1.16032    
2.7387    1.13833    
2.7972    1.11155    
2.8602    1.08669    
2.9142    1.06661    
2.9502    1.04367    
3.0042    1.01785    
3.0492    0.99968    
3.1032    0.97769    
3.1662    0.95378    
3.2337    0.93084    
3.2562    0.92319    
3.3101    0.90884    
3.3866    0.89737    
3.4585    0.88781    
3.5349    0.88494    
3.6112    0.88685    
3.6652    0.89068    
3.728    0.89928    
3.7864    0.91171    
3.8582    0.92414    
3.9031    0.93657    
3.9659    0.95378    
4.0378    0.971    
4.1141    0.99108    
4.1769    1.0102    
4.2577    1.02645    
4.352    1.04558    
4.4328    1.05705    
4.5271    1.07235    
4.617    1.07809    
4.7113    1.08    
4.7877    1.08    
4.8955    1.07331    
4.9854    1.05992    
5.0754    1.04175    
5.1653    1.0255    
5.2417    1.01116    
5.3316    0.9949    
5.4395    0.97673    
5.5519    0.9643    
5.6688    0.9557    
5.7811    0.95092    
5.9024    0.949    
6.0192    0.95283    
6.0551    0.96048    
6.1405    0.96717    
6.2617    0.97673    
6.3471    0.98821    
6.4773    1.00064    
6.6121    1.01307    
6.6974    1.02263    
6.7782    1.02645    
