Raster(1/cm)	Velocity(m/s)	Finger(1/cm)	Finger(std)	
60	1.666667e-01	1.110266e+01	8.975846e-01	
60	3.333333e-01	1.293070e+01	8.313745e-01	
60	5.000000e-01	1.502757e+01	6.874890e-01	
60	7.500000e-01	1.572653e+01	1.013740e+00	
60	1	1.701691e+01	1.023955e+00	
60	1.250000e+00	1.164032e+01	3.195839e+00	
70	1.666667e-01	1.207044e+01	3.292475e-01	
70	3.333333e-01	1.384472e+01	6.874890e-01	
70	5.000000e-01	1.596847e+01	1.020136e+00	
70	7.500000e-01	1.790404e+01	9.784803e-01	
70	1	2.104935e+01	1.329116e+00	
70	1.250000e+00	2.446348e+01	1.316990e+00	
80	1.666667e-01	1.368342e+01	7.525305e-01	
80	3.333333e-01	1.424796e+01	6.343465e-01	
80	5.000000e-01	1.760833e+01	3.873384e-01	
80	7.500000e-01	2.013533e+01	7.314929e-01	
80	1	2.260856e+01	1.976582e+00	
80	1.250000e+00	2.508179e+01	1.975485e-01	
100	1.666667e-01	1.508133e+01	9.391350e-01	
100	3.333333e-01	1.911378e+01	1.143963e+00	
100	5.000000e-01	2.406024e+01	1.753378e+00	
100	7.500000e-01	2.887229e+01	1.126777e+00	
100	1	2.927553e+01	2.227427e+00	
100	1.250000e+00	3.010890e+01	3.744979e+00	
