"x","y"
-5,7.0567e-10
-4.9706,6.0755e-10
-4.9412,5.7261e-10
-4.9118,6.0278e-10
-4.8824,6.9998e-10
-4.8529,5.9972e-10
-4.8235,5.5928e-10
-4.7941,5.845e-10
-4.7647,6.8122e-10
-4.7353,5.7678e-10
-4.7059,5.2917e-10
-4.6765,5.4828e-10
-4.6471,6.4402e-10
-4.6176,5.3246e-10
-4.5882,4.749e-10
-4.5588,4.8554e-10
-4.5294,5.786e-10
-4.5,4.5581e-10
-4.4706,3.8407e-10
-4.4412,3.8228e-10
-4.4118,4.6938e-10
-4.3824,3.2962e-10
-4.3529,2.3749e-10
-4.3235,2.1714e-10
-4.2941,2.9275e-10
-4.2314,0
-4.2059,-4.1727e-11
-4.1838,0
-4.2647,1.2797e-10
-4.2353,6.4155e-12
-4.1765,1.3755e-11
-4.1745,0
-4.1471,-1.8752e-10
-4.1176,-3.5157e-10
-4.0882,-4.4111e-10
-4.0588,-4.1883e-10
-4.1765,1.3755e-11
-4.0294,-6.7316e-10
-4,-8.9865e-10
-3.9706,-1.0495e-09
-3.9412,-1.0798e-09
-3.9118,-1.4113e-09
-3.8824,-1.7256e-09
-3.8529,-1.9666e-09
-3.8235,-2.0779e-09
-3.7941,-2.5218e-09
-3.7647,-2.965e-09
-3.7353,-3.338e-09
-3.7059,-3.5715e-09
-3.6765,-4.1798e-09
-3.6471,-4.8098e-09
-3.6176,-5.3754e-09
-3.5882,-5.7907e-09
-3.5588,-6.6399e-09
-3.5294,-7.541e-09
-3.5,-8.3868e-09
-3.4706,-9.0699e-09
-3.4412,-1.0273e-08
-3.4118,-1.1568e-08
-3.3824,-1.2821e-08
-3.3529,-1.3896e-08
-3.3235,-1.562e-08
-3.2941,-1.7488e-08
-3.2647,-1.933e-08
-3.2353,-2.0976e-08
-3.2059,-2.3467e-08
-3.1765,-2.6168e-08
-3.1471,-2.8864e-08
-3.1176,-3.134e-08
-3.0882,-3.4961e-08
-3.0588,-3.8874e-08
-3.0294,-4.2808e-08
-3,-4.6487e-08
-2.9706,-5.1772e-08
-2.9412,-5.7451e-08
-2.9118,-6.3177e-08
-2.8824,-6.8604e-08
-2.8529,-7.634e-08
-2.8235,-8.4587e-08
-2.7941,-9.2912e-08
-2.7647,-1.0088e-07
-2.7353,-1.1222e-07
-2.7059,-1.2421e-07
-2.6765,-1.3631e-07
-2.6471,-1.4797e-07
-2.6176,-1.6461e-07
-2.5882,-1.8207e-07
-2.5588,-1.9966e-07
-2.5294,-2.1672e-07
-2.5,-2.4114e-07
-2.4706,-2.6658e-07
-2.4412,-2.9218e-07
-2.4118,-3.1711e-07
-2.3824,-3.5296e-07
-2.3529,-3.9012e-07
-2.3235,-4.2749e-07
-2.2941,-4.6396e-07
-2.2647,-5.1662e-07
-2.2353,-5.7101e-07
-2.2059,-6.2563e-07
-2.1765,-6.7899e-07
-2.1471,-7.5657e-07
-2.1176,-8.364e-07
-2.0882,-9.1656e-07
-2.0588,-9.9511e-07
-2.0294,-1.1101e-06
-2,-1.2273e-06
-1.9706,-1.3448e-06
-1.9412,-1.4607e-06
-1.9118,-1.6327e-06
-1.8824,-1.8056e-06
-1.8529,-1.9794e-06
-1.8235,-2.1546e-06
-1.7941,-2.4145e-06
-1.7647,-2.6692e-06
-1.7353,-2.9256e-06
-1.7059,-3.1908e-06
-1.6765,-3.5869e-06
-1.6471,-3.9703e-06
-1.6176,-4.3631e-06
-1.5882,-4.787e-06
-1.5588,-5.3864e-06
-1.5294,-5.9712e-06
-1.5,-6.5727e-06
-1.4706,-7.2221e-06
-1.4412,-8.1158e-06
-1.4118,-9.0783e-06
-1.3824,-1.0104e-05
-1.3529,-1.1187e-05
-1.3235,-1.2488e-05
-1.2941,-1.4118e-05
-1.2647,-1.583e-05
-1.2353,-1.738e-05
-1.2059,-1.9308e-05
-1.1765,-2.2365e-05
-1.1471,-2.5672e-05
-1.1176,-2.8349e-05
-1.0882,-3.1888e-05
-1.0588,-3.7645e-05
-1.0294,-4.3625e-05
-1,-4.7835e-05
-0.97059,-5.3514e-05
-0.94118,-6.2133e-05
-0.91176,-7.051e-05
-0.88235,-7.5459e-05
-0.85294,-9.1494e-05
-0.82353,-0.0001076
-0.79412,-0.00012496
-0.76471,-0.00014477
-0.73529,-0.00015855
-0.70588,-0.00015948
-0.67647,-0.00015359
-0.64706,-0.00014692
-0.61765,-0.00027632
-0.58824,-0.00043905
-0.55882,-0.00066339
-0.52941,-0.00097748
-0.5,-0.0019216
-0.47059,-0.0027319
-0.44118,-0.003688
-0.41176,-0.0050657
-0.38235,-0.0045303
-0.35294,-0.0029007
-0.32412,0
-0.32353,6.1698e-05
-0.29412,0.0047443
-0.26471,0.01131
-0.23529,0.018254
-0.20588,0.026565
-0.19795,0.029412
-0.17647,0.036893
-0.14706,0.04114
-0.11765,0.045085
-0.088235,0.046072
-0.058824,0.041967
-0.029412,0.040112
0,0.039472
0.029412,0.040112
0.058824,0.041967
0.088235,0.046072
0.11765,0.045085
0.14706,0.04114
0.17647,0.036893
0.19795,0.029412
0.20588,0.026565
0.23529,0.018254
0.26471,0.01131
0.29412,0.0047443
0.32412,0
0.35294,-0.0029007
0.38235,-0.0045303
0.41176,-0.0050657
0.32353,6.1698e-05
0.44118,-0.003688
0.47059,-0.0027319
0.5,-0.0019216
0.52941,-0.00097748
0.55882,-0.00066339
0.58824,-0.00043905
0.61765,-0.00027632
0.64706,-0.00014692
0.67647,-0.00015359
0.70588,-0.00015948
0.73529,-0.00015855
0.76471,-0.00014477
0.79412,-0.00012496
0.82353,-0.0001076
0.85294,-9.1494e-05
0.88235,-7.5459e-05
0.91176,-7.051e-05
0.94118,-6.2133e-05
0.97059,-5.3514e-05
1,-4.7835e-05
1.0294,-4.3625e-05
1.0588,-3.7645e-05
1.0882,-3.1888e-05
1.1176,-2.8349e-05
1.1471,-2.5672e-05
1.1765,-2.2365e-05
1.2059,-1.9308e-05
1.2353,-1.738e-05
1.2647,-1.583e-05
1.2941,-1.4118e-05
1.3235,-1.2488e-05
1.3529,-1.1187e-05
1.3824,-1.0104e-05
1.4118,-9.0783e-06
1.4412,-8.1158e-06
1.4706,-7.2221e-06
1.5,-6.5727e-06
1.5294,-5.9712e-06
1.5588,-5.3864e-06
1.5882,-4.787e-06
1.6176,-4.3631e-06
1.6471,-3.9703e-06
1.6765,-3.5869e-06
1.7059,-3.1908e-06
1.7353,-2.9256e-06
1.7647,-2.6692e-06
1.7941,-2.4145e-06
1.8235,-2.1546e-06
1.8529,-1.9794e-06
1.8824,-1.8056e-06
1.9118,-1.6327e-06
1.9412,-1.4607e-06
1.9706,-1.3448e-06
2,-1.2273e-06
2.0294,-1.1101e-06
2.0588,-9.9511e-07
2.0882,-9.1656e-07
2.1176,-8.364e-07
2.1471,-7.5657e-07
2.1765,-6.7899e-07
2.2059,-6.2563e-07
2.2353,-5.7101e-07
2.2647,-5.1662e-07
2.2941,-4.6396e-07
2.3235,-4.2749e-07
2.3529,-3.9012e-07
2.3824,-3.5296e-07
2.4118,-3.1711e-07
2.4412,-2.9218e-07
2.4706,-2.6658e-07
2.5,-2.4114e-07
2.5294,-2.1672e-07
2.5588,-1.9966e-07
2.5882,-1.8207e-07
2.6176,-1.6461e-07
2.6471,-1.4797e-07
2.6765,-1.3631e-07
2.7059,-1.2421e-07
2.7353,-1.1222e-07
2.7647,-1.0088e-07
2.7941,-9.2912e-08
2.8235,-8.4587e-08
2.8529,-7.634e-08
2.8824,-6.8604e-08
2.9118,-6.3177e-08
2.9412,-5.7451e-08
2.9706,-5.1772e-08
3,-4.6487e-08
3.0294,-4.2808e-08
3.0588,-3.8874e-08
3.0882,-3.4961e-08
3.1176,-3.134e-08
3.1471,-2.8864e-08
3.1765,-2.6168e-08
3.2059,-2.3467e-08
3.2353,-2.0976e-08
3.2647,-1.933e-08
3.2941,-1.7488e-08
3.3235,-1.562e-08
3.3529,-1.3896e-08
3.3824,-1.2821e-08
3.4118,-1.1568e-08
3.4412,-1.0273e-08
3.4706,-9.0699e-09
3.5,-8.3868e-09
3.5294,-7.541e-09
3.5588,-6.6399e-09
3.5882,-5.7907e-09
3.6176,-5.3754e-09
3.6471,-4.8098e-09
3.6765,-4.1798e-09
3.7059,-3.5715e-09
3.7353,-3.338e-09
3.7647,-2.965e-09
3.7941,-2.5218e-09
3.8235,-2.0779e-09
3.8529,-1.9666e-09
3.8824,-1.7256e-09
3.9118,-1.4113e-09
3.9412,-1.0798e-09
3.9706,-1.0495e-09
4,-8.9865e-10
4.0294,-6.7316e-10
4.0588,-4.1883e-10
4.0588,-4.1883e-10
4.0882,-4.4111e-10
4.1176,-3.5157e-10
4.1471,-1.8752e-10
4.1745,0
4.1765,1.3755e-11
4.1838,0
4.2059,-4.1727e-11
4.2314,0
4.1765,1.3755e-11
4.2353,6.4155e-12
4.2647,1.2797e-10
4.2941,2.9275e-10
4.3235,2.1714e-10
4.3529,2.3749e-10
4.3824,3.2962e-10
4.4118,4.6938e-10
4.4412,3.8228e-10
4.4706,3.8407e-10
4.5,4.5581e-10
4.5294,5.786e-10
4.5588,4.8554e-10
4.5882,4.749e-10
4.6176,5.3246e-10
4.6471,6.4402e-10
4.6765,5.4828e-10
4.7059,5.2917e-10
4.7353,5.7678e-10
4.7647,6.8122e-10
4.7941,5.845e-10
4.8235,5.5928e-10
4.8529,5.9972e-10
4.8824,6.9998e-10
4.9118,6.0278e-10
4.9412,5.7261e-10
4.9706,6.0755e-10
5,7.0567e-10
