 #Line, #Time, #Iter	L2Norm MomentumX    L2Norm MomentumY    L2Norm ContiEq      L2Norm Total        
     1,     1,     2	9.673905E-016       3.452229E-015       7.899117E-016       3.671197E-015       
     2,     2,     2	4.093974E-015       1.781337E-014       7.286179E-016       1.829228E-014       
     3,     3,     2	5.771762E-015       1.935394E-014       1.760836E-015       2.027285E-014       
     4,     4,     2	7.566359E-015       2.695256E-014       4.377527E-015       2.833466E-014       
     5,     5,     2	4.266642E-015       2.714009E-014       9.624647E-015       2.911053E-014       
     6,     6,     2	8.416046E-015       3.376367E-014       2.666541E-015       3.489879E-014       
     7,     7,     2	6.891260E-015       4.057005E-014       2.222593E-015       4.121115E-014       
     8,     8,     2	9.192595E-015       5.241821E-014       1.352920E-014       5.491094E-014       
     9,     9,     2	3.702209E-014       8.137079E-014       4.411941E-013       4.501601E-013       
    10,    10,     2	1.076753E-014       3.901543E-014       1.276522E-014       4.243930E-014       
    11,    11,     2	1.487905E-014       7.234370E-014       1.179317E-014       7.479356E-014       
    12,    12,     2	3.744784E-014       1.935379E-013       4.763964E-015       1.971850E-013       
    13,    13,     2	1.995182E-014       9.065439E-014       3.955434E-014       1.009001E-013       
    14,    14,     2	1.897648E-014       9.394841E-014       6.525877E-015       9.606767E-014       
    15,    15,     2	2.558923E-014       1.217491E-013       1.595074E-013       2.022875E-013       
    16,    16,     2	2.737307E-014       8.012600E-014       6.769298E-015       8.494283E-014       
    17,    17,     2	3.471962E-014       1.054240E-013       1.636808E-014       1.121944E-013       
    18,    18,     2	3.338297E-014       1.346436E-013       1.624465E-014       1.396682E-013       
    19,    19,     2	2.876631E-014       1.473763E-013       8.476071E-015       1.503966E-013       
    20,    20,     2	6.044243E-014       2.275942E-013       8.923163E-015       2.356524E-013       
    21,    21,     2	1.401249E-014       1.272489E-014       2.373477E-014       3.035807E-014       
    22,    22,     2	1.201611E-014       1.490533E-014       1.729701E-014       2.580198E-014       
    23,    23,     2	1.250088E-014       1.413476E-014       3.950336E-015       1.927871E-014       
    24,    24,     2	1.200630E-014       1.358759E-014       1.035971E-014       2.088294E-014       
    25,    25,     2	1.146323E-014       1.505463E-014       6.321105E-015       1.995004E-014       
