2024-02-02 14:57:32,239 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Solution.Application`1.SetUpEnvironment new stack depth = 2
2024-02-02 14:57:32,241 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Solution.Application`1.CreateOrLoadGrid new stack depth = 3
2024-02-02 14:57:32,241 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.IO.GridDatabaseDriver.LoadGrid new stack depth = 4
2024-02-02 14:57:32,241 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.IO.GridDatabaseDriver.LoadGridInfo new stack depth = 5
2024-02-02 14:57:32,241 INFO  BoSSS.Foundation.IO.GridDatabaseDriver: Loading grid c8ffda49-d74c-4ee7-bfa6-4eaf4f895e7a
2024-02-02 14:57:32,241 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.IO.GridDatabaseDriver.DeserializeGrid new stack depth = 6
2024-02-02 14:57:32,241 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.IO.StandardFsDriver.OpenFileExclusiveBlocking new stack depth = 7
2024-02-02 14:57:32,241 INFO  BoSSS.Foundation.IO.StandardFsDriver: opening file 'grids\c8ffda49-d74c-4ee7-bfa6-4eaf4f895e7a.grid', create='False'
2024-02-02 14:57:32,243 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.IO.StandardFsDriver.OpenFileExclusiveBlocking (0.0015857 sec, return to stack depth = 6)
2024-02-02 14:57:32,244 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.IO.GridDatabaseDriver.DeserializeGrid (0.0025884 sec, return to stack depth = 5)
2024-02-02 14:57:32,244 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.IO.GridDatabaseDriver.LoadGridInfo (0.0031001 sec, return to stack depth = 4)
2024-02-02 14:57:32,244 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.IO.GridDatabaseDriver.LoadGridData new stack depth = 5
2024-02-02 14:57:32,244 INFO  ilPSP.Tracing.FuncTrace: ENTERING VectorDataSerializer.LoadVector new stack depth = 6
2024-02-02 14:57:32,245 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.IO.ReflectionVectorDataSerializer.LoadVector_ValueTypeCapable new stack depth = 7
2024-02-02 14:57:32,245 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.IO.VectorDataSerializer.LoadVector new stack depth = 8
2024-02-02 14:57:32,245 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.IO.StandardFsDriver.OpenFileExclusiveBlocking new stack depth = 9
2024-02-02 14:57:32,245 INFO  BoSSS.Foundation.IO.StandardFsDriver: opening file 'data\2b7a9f31-5c42-457a-8f38-e6af3acbf707.1.data', create='False'
2024-02-02 14:57:32,247 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.IO.StandardFsDriver.OpenFileExclusiveBlocking (0.0015552 sec, return to stack depth = 8)
2024-02-02 14:57:32,251 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.IO.StandardFsDriver.OpenFileExclusiveBlocking new stack depth = 9
2024-02-02 14:57:32,251 INFO  BoSSS.Foundation.IO.StandardFsDriver: opening file 'data\2b7a9f31-5c42-457a-8f38-e6af3acbf707.1.data', create='False'
2024-02-02 14:57:32,252 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.IO.StandardFsDriver.OpenFileExclusiveBlocking (0.0004216 sec, return to stack depth = 8)
2024-02-02 14:57:32,255 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.IO.VectorDataSerializer.LoadVector (0.0100128 sec, return to stack depth = 7)
2024-02-02 14:57:32,255 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.IO.ReflectionVectorDataSerializer.LoadVector_ValueTypeCapable (0.0102594 sec, return to stack depth = 6)
2024-02-02 14:57:32,255 INFO  ilPSP.Tracing.FuncTrace: LEAVING VectorDataSerializer.LoadVector (0.0105836 sec, return to stack depth = 5)
2024-02-02 14:57:32,255 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.IO.GridDatabaseDriver.LoadGridData (0.0110408 sec, return to stack depth = 4)
2024-02-02 14:57:32,255 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.IO.GridDatabaseDriver.LoadGrid (0.0143641 sec, return to stack depth = 3)
2024-02-02 14:57:32,255 INFO  BoSSS.Solution.Application`1: MEMORY STAT.: garbage collector memory: 269 Meg
2024-02-02 14:57:32,258 INFO  BoSSS.Solution.Application`1: MEMORY STAT.: working set memory: 818 Meg
2024-02-02 14:57:32,258 INFO  BoSSS.Solution.Application`1: MEMORY STAT.: peak working set memory: 818 Meg
2024-02-02 14:57:32,258 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Solution.Application`1.CreateOrLoadGrid (0.0175467 sec, return to stack depth = 2)
2024-02-02 14:57:32,258 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.IGrid_Extensions.EnsureMinimalBalance new stack depth = 3
2024-02-02 14:57:32,258 INFO  BoSSS.Foundation.Grid.IGrid_Extensions: Processor 0 contains 105 cells
2024-02-02 14:57:32,258 INFO  BoSSS.Foundation.Grid.IGrid_Extensions: All processors contain at least one cell - no re-balancing required.
2024-02-02 14:57:32,258 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.IGrid_Extensions.EnsureMinimalBalance (0.00033 sec, return to stack depth = 2)
